Matrícula: 10055924, Referência: 207, Valor Formatado: 79.20
Matrícula: 80319716, Referência: 207, Valor Formatado: 158.40
Matrícula: 10830063, Referência: 207, Valor Formatado: 80.28
Matrícula: 10815051, Referência: 207, Valor Formatado: 84.28
Matrícula: 10072817, Referência: 207, Valor Formatado: 79.20
Matrícula: 10132253, Referência: 207, Valor Formatado: 79.20
Matrícula: 80308195, Referência: 207, Valor Formatado: 158.40
Matrícula: 10725232, Referência: 207, Valor Formatado: 92.85
Matrícula: 10750275, Referência: 207, Valor Formatado: 88.42
Matrícula: 10097532, Referência: 207, Valor Formatado: 79.20
Matrícula: 10077506, Referência: 207, Valor Formatado: 79.20
Matrícula: 10611522, Referência: 207, Valor Formatado: 102.42
Matrícula: 80100880, Referência: 207, Valor Formatado: 158.40
Matrícula: 10054176, Referência: 207, Valor Formatado: 102.42
Matrícula: 10735275, Referência: 207, Valor Formatado: 88.42
Matrícula: 10831005, Referência: 207, Valor Formatado: 80.28
Matrícula: 10074700, Referência: 207, Valor Formatado: 102.42
Matrícula: 10087317, Referência: 207, Valor Formatado: 79.20
Matrícula: 80305703, Referência: 207, Valor Formatado: 158.40
Matrícula: 10830960, Referência: 207, Valor Formatado: 80.28
Matrícula: 10817994, Referência: 207, Valor Formatado: 80.28
Matrícula: 10130970, Referência: 207, Valor Formatado: 79.20
Matrícula: 80102204, Referência: 207, Valor Formatado: 158.40
Matrícula: 80102266, Referência: 207, Valor Formatado: 30.60
Matrícula: 10830001, Referência: 207, Valor Formatado: 80.28
Matrícula: 10829959, Referência: 207, Valor Formatado: 80.28
Matrícula: 10829973, Referência: 207, Valor Formatado: 80.28
Matrícula: 10055974, Referência: 207, Valor Formatado: 102.42
Matrícula: 10817968, Referência: 207, Valor Formatado: 80.28
Matrícula: 10049030, Referência: 207, Valor Formatado: 79.20
Matrícula: 10762096, Referência: 207, Valor Formatado: 88.42
Matrícula: 10830984, Referência: 207, Valor Formatado: 80.28
Matrícula: 80103155, Referência: 207, Valor Formatado: 158.40
Matrícula: 10751683, Referência: 207, Valor Formatado: 88.42
Matrícula: 10134378, Referência: 207, Valor Formatado: 102.42
Matrícula: 10817970, Referência: 207, Valor Formatado: 80.28
Matrícula: 10754477, Referência: 207, Valor Formatado: 88.42
Matrícula: 10054023, Referência: 207, Valor Formatado: 79.20
Matrícula: 10818003, Referência: 207, Valor Formatado: 80.28
Matrícula: 10769484, Referência: 207, Valor Formatado: 84.28
Matrícula: 10752209, Referência: 207, Valor Formatado: 79.20
Matrícula: 10060979, Referência: 207, Valor Formatado: 102.42
Matrícula: 10829961, Referência: 207, Valor Formatado: 80.28
Matrícula: 10830946, Referência: 207, Valor Formatado: 80.28
